brand_name,model,price,rating,has_5g,has_nfc,has_ir_blaster,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,resolution,num_rear_cameras,num_front_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,extended_upto
vivo,Vivo Y93,18000,62.0,False,False,False,helio,8.0,2.0,4030.0,0,,4.0,32.0,6.2,60,1520 x 720 ,2,1.0,android,13.0,8.0,1,256.0
xiaomi,Xiaomi Redmi 10A Sport,9999,69.0,False,False,True,helio,8.0,2.0,5000.0,0,,6.0,128.0,6.53,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,512.0
apple,Apple iPhone 12 Mini (128GB),45999,75.0,True,True,False,bionic,6.0,3.1,3240.0,0,,4.0,128.0,5.4,60,1080 x 2340 ,2,1.0,ios,12.0,12.0,0,0.0
tecno,Tecno Spark 9 (4GB RAM + 64GB),7999,65.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,64.0,6.6,90,720 x 1600 ,2,1.0,android,13.0,8.0,1,256.0
google,Google Pixel 4,20120,78.0,False,True,False,snapdragon,8.0,2.8,2800.0,1,,6.0,64.0,5.7,60,1080 x 2280 ,2,2.0,android,16.0,8.0,0,0.0
tecno,Tecno Spark 8C (4GB RAM + 64GB),8890,63.0,False,False,False,unisoc,8.0,2.0,5000.0,0,,4.0,64.0,6.6,90,720 x 1612 ,2,1.0,android,13.0,8.0,1,256.0
xiaomi,Xiaomi Redmi 10A (6GB RAM + 128GB),10850,70.0,False,False,False,helio,8.0,2.0,5000.0,0,,6.0,128.0,6.53,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,512.0
blu,BLU F91 5G,14990,85.0,True,True,False,dimensity,8.0,2.4,5000.0,1,,8.0,128.0,6.8,60,1080 x 2460 ,4,1.0,android,48.0,16.0,1,1024.0
oppo,OPPO A16e,8999,65.0,False,False,False,helio,8.0,2.0,4230.0,0,,3.0,32.0,6.52,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,1024.0
xiaomi,Xiaomi Redmi 9A,6999,61.0,False,False,False,helio,8.0,2.0,5000.0,0,,2.0,32.0,6.53,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,512.0
redmi,Redmi 12C,7999,70.0,False,False,False,helio,8.0,2.0,5000.0,0,,4.0,64.0,6.71,60,720 x 1650 ,2,1.0,android,50.0,5.0,1,512.0
sony,Sony Xperia L5 5G,15990,73.0,False,True,False,helio,8.0,2.3,4000.0,1,,4.0,64.0,6.2,60,720 x 1680 ,3,1.0,android,13.0,8.0,1,512.0
samsung,Samsung Galaxy F22,11499,73.0,False,False,False,helio,8.0,2.0,6000.0,0,,4.0,64.0,6.4,90,720 x 1600 ,4,1.0,android,48.0,13.0,1,1024.0
xiaomi,Xiaomi Poco F1,11999,77.0,False,False,False,snapdragon,8.0,2.8,4000.0,1,,6.0,64.0,6.18,60,1080 x 2246 ,2,1.0,android,12.0,20.0,1,256.0
lyf,Lyf Earth 1,3990,60.0,False,False,False,snapdragon,8.0,1.5,3500.0,0,,3.0,32.0,5.5,60,1080 x 1920 ,2,1.0,android,13.0,5.0,1,64.0
vivo,Vivo Y3 (4GB RAM + 128GB),12990,71.0,False,False,False,helio,8.0,2.3,5000.0,1,,4.0,128.0,6.35,60,720 x 1544 ,3,1.0,android,13.0,16.0,1,256.0
realme,Realme C31,8299,62.0,False,False,False,tiger,8.0,1.82,5000.0,0,,3.0,32.0,6.52,60,720 x 1600 ,3,1.0,android,13.0,5.0,1,1024.0
oneplus,OnePlus 6 (8GB RAM + 128GB),27999,77.0,False,True,False,snapdragon,8.0,2.8,3300.0,0,,8.0,128.0,6.28,60,1080 x 2280 ,2,1.0,android,20.0,16.0,0,0.0
google,Google Pixel 2 XL,15990,69.0,False,True,False,snapdragon,8.0,2.35,3520.0,1,,4.0,128.0,6.0,60,1440 x 2880 ,1,1.0,android,12.2,8.0,0,0.0
vivo,Vivo Y15s,8499,66.0,False,False,False,helio,8.0,2.3,5000.0,0,,3.0,32.0,6.51,60,720 x 1600 ,2,1.0,android,13.0,8.0,1,1024.0
vivo,Vivo Y78 5G,24990,77.0,True,False,False,dimensity,8.0,3.0,4500.0,1,,8.0,128.0,6.58,90,1080 x 2400 ,3,1.0,android,50.0,16.0,0,0.0
vivo,Vivo Y01,7999,61.0,False,False,False,helio,8.0,2.3,5000.0,0,,2.0,32.0,6.51,60,720 x 1600 ,1,1.0,android,8.0,5.0,1,1024.0
apple,Apple iPhone 13 Pro (256GB),129900,83.0,True,True,False,bionic,6.0,3.22,3095.0,1,,6.0,256.0,6.1,120,1170 x 2532 ,3,1.0,ios,12.0,12.0,0,0.0
oppo,OPPO A16e (4GB RAM + 64GB),8999,68.0,False,False,False,helio,8.0,2.0,4230.0,0,,4.0,64.0,6.52,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,1024.0
lg,LG Wing 5G,54999,89.0,True,True,False,snapdragon,8.0,2.4,4000.0,1,,8.0,128.0,6.8,60,1080 x 2460 ,3,1.0,,64.0,32.0,0,0.0
samsung,Samsung Galaxy A04e (3GB RAM + 64GB),9950,66.0,False,False,False,helio,8.0,2.3,5000.0,0,,3.0,64.0,6.5,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,1024.0
oppo,Oppo A56s,12999,75.0,True,False,False,dimensity,8.0,2.4,5000.0,0,,8.0,128.0,6.56,60,720 x 1612 ,2,1.0,android,13.0,8.0,1,1024.0
oppo,OPPO A16K (4GB RAM + 64GB),10999,66.0,False,False,False,helio,8.0,2.3,4230.0,0,,4.0,64.0,6.52,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,256.0
realme,Realme Narzo 50i (4GB RAM + 64GB),8999,62.0,False,False,False,unisoc,8.0,1.6,5000.0,0,,4.0,64.0,6.5,60,720 x 1600 ,1,1.0,android,8.0,5.0,1,256.0
xiaomi,Xiaomi Redmi 9 Activ (6GB RAM + 128GB),10499,72.0,False,False,False,helio,8.0,2.3,5000.0,0,,6.0,128.0,6.53,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,512.0
samsung,Samsung Galaxy A04e (4GB RAM + 128GB),11499,69.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,128.0,6.5,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,1024.0
realme,Realme C21Y,6999,62.0,False,False,False,unisoc,8.0,1.8,5000.0,0,,3.0,32.0,6.5,60,720 x 1600 ,3,1.0,android,13.0,5.0,1,256.0
oppo,OPPO A16,11999,69.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,64.0,6.52,60,720 x 1600 ,3,1.0,android,13.0,8.0,1,1024.0
apple,Apple iPhone 12 Pro (512GB),139900,80.0,True,True,False,bionic,6.0,3.1,3240.0,0,,6.0,512.0,6.1,60,1170 x 2532 ,3,1.0,ios,12.0,12.0,0,0.0
apple,Apple iPhone 14 (512GB),95999,82.0,True,True,False,bionic,6.0,3.22,3279.0,1,,6.0,512.0,6.1,60,1170 x 2532 ,2,1.0,ios,12.0,12.0,0,0.0
vivo,Vivo Y10,12490,63.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,128.0,6.51,60,720 x 1600 ,2,1.0,android,13.0,8.0,0,0.0
micromax,Micromax IN 2B,6999,66.0,False,False,False,unisoc,8.0,1.8,5000.0,0,,4.0,64.0,6.52,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,256.0
oppo,OPPO A55 5G,17990,74.0,True,False,False,dimensity,8.0,2.2,5000.0,0,,6.0,128.0,6.5,60,720 x 1600 ,3,1.0,android,13.0,8.0,1,1024.0
xiaomi,Xiaomi Redmi 9,8999,68.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,64.0,6.53,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,512.0
infinix,Infinix Smart 6,7320,60.0,False,False,False,helio,4.0,2.0,5000.0,0,,2.0,64.0,6.6,60,720 x 1600 ,2,1.0,android,8.0,5.0,1,512.0
samsung,Samsung Galaxy Note 10 Plus 5G,92999,89.0,True,True,True,exynos,8.0,2.7,4300.0,1,,12.0,256.0,6.8,60,1440 x 3040 ,4,1.0,android,12.0,10.0,1,512.0
honor,Honor Play 30,9999,68.0,True,False,False,snapdragon,8.0,2.2,5000.0,0,,4.0,128.0,6.5,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,1024.0
infinix,Infinix Smart 6 Plus,8299,63.0,False,False,False,helio,8.0,2.0,5000.0,0,,3.0,64.0,6.82,60,720 x 1600 ,2,1.0,android,8.0,5.0,1,512.0
apple,Apple iPhone 13 Pro Max (256GB),139900,84.0,True,True,False,bionic,6.0,3.22,4352.0,1,,6.0,256.0,6.7,120,1284 x 2778 ,3,1.0,ios,12.0,12.0,0,0.0
gionee,Gionee M12 Pro,7499,67.0,False,False,False,helio,8.0,1.99,4000.0,0,,6.0,128.0,6.2,60,720 x 1520 ,1,1.0,android,16.0,13.0,1,256.0
vivo,Vivo Y15,12500,71.0,False,False,False,helio,8.0,2.0,5000.0,0,,4.0,64.0,6.35,60,720 x 1544 ,3,1.0,android,13.0,16.0,1,256.0
realme,Realme C32,9499,65.0,False,False,False,tiger,8.0,1.82,5000.0,0,,4.0,64.0,6.52,60,720 x 1600 ,3,1.0,android,13.0,5.0,1,1024.0
tecno,Tecno Spark 8 (4GB RAM + 64GB),8999,64.0,False,False,False,helio,8.0,1.8,5000.0,0,,4.0,64.0,6.52,60,720 x 1600 ,2,1.0,android,16.0,8.0,1,256.0
oppo,Oppo A56 5G,17990,73.0,True,False,False,dimensity,8.0,2.2,5000.0,0,,6.0,128.0,6.5,60,720 x 1600 ,2,1.0,android,13.0,8.0,1,1024.0
vivo,Vivo Y12 (3GB RAM + 64GB),11000,68.0,False,False,False,helio,8.0,2.0,5000.0,0,,3.0,64.0,6.35,60,720 x 1544 ,3,1.0,android,13.0,8.0,1,256.0
xiaomi,Xiaomi Poco F1 (6GB RAM + 128GB),12999,78.0,False,False,False,snapdragon,8.0,2.8,4000.0,1,,6.0,128.0,6.18,60,1080 x 2246 ,2,1.0,android,12.0,20.0,1,256.0
ikall,iKall Z19,7999,61.0,False,False,False,Unknown,4.0,1.6,5000.0,0,,4.0,32.0,6.5,60,720 x 1600 ,1,1.0,android,20.0,13.0,1,128.0
apple,Apple iPhone SE 4,49990,60.0,True,True,False,bionic,6.0,3.22,3240.0,0,,4.0,64.0,6.1,60,750 x 1580 ,1,1.0,ios,12.0,10.8,0,0.0
vivo,Vivo Y15C,8499,66.0,False,False,False,helio,8.0,2.3,5000.0,0,,3.0,32.0,6.51,60,720 x 1600 ,2,1.0,android,13.0,8.0,1,1024.0
tecno,Tecno Spark Go 2022,6249,61.0,False,False,False,helio,8.0,2.2,5000.0,0,,2.0,32.0,6.51,60,720 x 1600 ,2,1.0,android,13.0,8.0,1,256.0
xiaomi,Xiaomi Redmi 9A Sport,6499,61.0,False,False,False,helio,8.0,2.0,5000.0,0,,2.0,32.0,6.53,60,720 x 1600 ,1,1.0,android,13.0,5.0,1,512.0
apple,Apple iPhone 13 Pro Max (1TB),179900,86.0,True,True,False,bionic,6.0,3.22,4352.0,1,,6.0,1024.0,6.7,120,1284 x 2778 ,3,1.0,ios,12.0,12.0,0,0.0
vivo,Vivo Y12G (3GB RAM + 64GB),11990,68.0,False,False,False,snapdragon,8.0,2.0,5000.0,0,,3.0,64.0,6.51,60,720 x 1600 ,3,1.0,android,13.0,8.0,1,1024.0
samsung,Samsung Galaxy F22 (6GB RAM + 128GB),13499,76.0,False,False,False,helio,8.0,2.0,6000.0,0,,6.0,128.0,6.4,90,720 x 1600 ,4,1.0,android,48.0,13.0,1,1024.0
micromax,Micromax IN 2C,5999,60.0,False,False,False,tiger,8.0,1.8,5000.0,0,,3.0,32.0,6.52,60,720 x 1600 ,1,1.0,android,8.0,5.0,1,256.0
oppo,OPPO A54 (4GB RAM + 128GB),11990,71.0,False,False,False,helio,8.0,2.3,5000.0,1,,4.0,128.0,6.51,60,1600 x 720 ,3,1.0,android,13.0,16.0,1,256.0
oppo,OPPO A54,12199,70.0,False,False,False,helio,8.0,2.3,5000.0,1,,4.0,64.0,6.51,60,1600 x 720 ,3,1.0,android,13.0,16.0,1,256.0
oppo,Oppo A15s (4GB RAM + 128GB),11490,72.0,False,False,False,helio,8.0,2.3,4230.0,0,,4.0,128.0,6.52,60,720 x 1600 ,3,1.0,android,13.0,8.0,1,256.0
vivo,Vivo Y11 (2019),9490,64.0,False,False,False,snapdragon,8.0,2.0,5000.0,0,,3.0,32.0,6.35,60,720 x 1544 ,2,1.0,android,13.0,8.0,1,256.0
vivo,Vivo V15 Pro (8GB RAM +128GB),25000,78.0,False,False,False,snapdragon,8.0,2.0,3700.0,1,,8.0,128.0,6.39,60,1080 x 2316 ,3,1.0,android,48.0,32.0,1,256.0
vivo,Vivo Y95,15000,65.0,False,False,False,snapdragon,8.0,1.95,4030.0,0,,4.0,64.0,6.22,60,1520 x 720 ,2,1.0,android,13.0,20.0,1,256.0
vivo,Vivo V11i,20990,70.0,False,False,False,helio,8.0,2.0,3315.0,0,,4.0,128.0,6.3,60,1080 x 2280 ,2,1.0,android,16.0,25.0,1,256.0
samsung,Samsung Galaxy S9 Plus (128GB),34999,78.0,False,True,False,exynos,8.0,2.8,3500.0,1,,6.0,128.0,6.2,60,1440 x 2960 ,2,1.0,android,12.0,8.0,1,512.0
samsung,Samsung Galaxy A04 (4GB RAM + 128GB),12999,72.0,False,False,False,helio,8.0,2.3,5000.0,1,,4.0,128.0,6.5,60,720 x 1600 ,2,1.0,android,50.0,5.0,1,1024.0
leitz,Leitz Phone 2,124990,89.0,True,True,False,snapdragon,8.0,3.0,5000.0,1,,12.0,256.0,6.6,240,1260 x 2730 ,2,1.0,android,47.2,12.6,1,1024.0
apple,Apple iPhone 14 Plus (512GB),104999,83.0,True,True,False,bionic,6.0,3.22,4325.0,1,,6.0,512.0,6.7,60,1284 x 2778 ,2,1.0,ios,12.0,12.0,0,0.0
nokia,Nokia C21 Plus (4GB RAM + 64GB),8999,64.0,False,False,False,unisoc,8.0,1.6,5050.0,0,,4.0,64.0,6.52,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,1024.0
apple,Apple iPhone 13 (512GB),91999,80.0,True,True,False,bionic,6.0,3.22,3240.0,1,,4.0,512.0,6.1,60,1170 x 2532 ,2,1.0,ios,12.0,12.0,0,0.0
infinix,Infinix Hot 11S,9690,71.0,False,False,False,helio,8.0,2.0,5000.0,0,,4.0,64.0,6.78,90,1080 x 2480 ,3,1.0,android,50.0,8.0,1,256.0
samsung,Samsung Galaxy M62,23999,83.0,False,True,False,exynos,8.0,2.73,7000.0,1,,6.0,128.0,6.71,60,1080 x 2400 ,4,1.0,android,64.0,32.0,1,1024.0
apple,Apple iPhone 12 Pro (256GB),119900,80.0,True,True,False,bionic,6.0,3.1,3240.0,0,,6.0,256.0,6.1,60,1170 x 2532 ,3,1.0,ios,12.0,12.0,0,0.0
oppo,Oppo A31 2020 (6GB RAM + 128GB),12490,72.0,False,False,False,helio,8.0,2.3,4230.0,0,,6.0,128.0,6.5,60,720 x 1600 ,3,1.0,android,12.0,8.0,1,256.0
huawei,Huawei Honor 9N,10949,66.0,False,False,False,kirin,8.0,2.36,3000.0,0,,4.0,64.0,5.84,60,1080 x 2280 ,2,1.0,android,13.0,16.0,1,256.0
xiaomi,Xiaomi Redmi Note 4,10300,65.0,False,False,False,snapdragon,8.0,2.0,4100.0,0,,4.0,64.0,5.5,60,1080 x 1920 ,1,1.0,android,13.0,5.0,1,128.0
tecno,Tecno Pova Neo 2,13990,67.0,False,False,False,helio,8.0,2.0,7000.0,0,,6.0,128.0,6.82,90,720 x 1600 ,2,1.0,android,16.0,8.0,1,512.0
vivo,Vivo Y15C (3GB RAM + 64GB),10490,67.0,False,False,False,helio,8.0,2.3,5000.0,0,,3.0,64.0,6.51,60,720 x 1600 ,2,1.0,android,13.0,8.0,1,1024.0
samsung,Samsung Galaxy A92 5G,47990,80.0,True,False,False,dimensity,8.0,3.0,5000.0,1,,8.0,128.0,6.7,60,1080 x 2400 ,3,1.0,android,48.0,16.0,0,0.0
royole,Royole FlexPai 3 5G,149999,87.0,True,False,False,snapdragon,8.0,2.84,3360.0,0,,8.0,128.0,7.2,60,1440 x 1920 ,3,1.0,,64.0,32.0,0,0.0
tecno,Tecno Spark 8T,7999,70.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,64.0,6.6,60,720 x 1600 ,2,1.0,android,50.0,8.0,1,1024.0
realme,Realme G1,7999,64.0,False,False,False,helio,8.0,2.3,6000.0,0,,3.0,32.0,6.52,60,720 x 1600 ,3,1.0,android,13.0,5.0,1,256.0
apple,Apple iPhone 12 Mini (256GB),55999,75.0,True,True,False,bionic,6.0,3.1,3240.0,0,,4.0,256.0,5.4,60,1080 x 2340 ,2,1.0,ios,12.0,12.0,0,0.0
apple,Apple iPhone 12 (256GB),67999,76.0,True,True,False,bionic,6.0,3.1,3240.0,0,,4.0,256.0,6.1,60,1170 x 2532 ,2,1.0,ios,12.0,12.0,0,0.0
oppo,OPPO A15,9999,66.0,False,False,False,helio,8.0,2.3,4230.0,0,,3.0,32.0,6.52,60,720 x 1600 ,3,1.0,android,13.0,5.0,1,256.0
oppo,Oppo A12,9990,64.0,False,False,False,helio,8.0,1.8,4230.0,0,,3.0,32.0,6.22,60,1520 x 720 ,2,1.0,android,13.0,5.0,1,256.0
oppo,OPPO A73,15990,62.0,False,False,False,helio,8.0,2.5,3200.0,0,,3.0,32.0,6.0,60,1080 x 2160 ,1,1.0,android,13.0,16.0,1,1024.0
lava,Lava Blaze NXT,8999,66.0,False,False,False,helio,8.0,2.3,5000.0,0,,4.0,64.0,6.5,60,720 x 1600 ,3,1.0,android,13.0,8.0,1,256.0
infinix,Infinix Hot 20i,9999,64.0,False,False,False,helio,8.0,2.0,5000.0,0,,3.0,64.0,6.6,60,720 x 1612 ,2,1.0,android,13.0,8.0,1,1024.0
tecno,Tecno Spark 9 (3GB RAM + 64GB),8390,63.0,False,False,False,helio,8.0,2.3,5000.0,0,,3.0,64.0,6.6,90,720 x 1600 ,2,1.0,android,13.0,8.0,1,256.0
tecno,Tecno Spark 8C,7399,62.0,False,False,False,unisoc,8.0,2.0,5000.0,0,,3.0,64.0,6.6,90,720 x 1612 ,2,1.0,android,13.0,8.0,1,256.0
apple,Apple iPhone 13 Pro (1TB),147900,84.0,True,True,False,bionic,6.0,3.22,3095.0,1,,6.0,1024.0,6.1,120,1170 x 2532 ,3,1.0,ios,12.0,12.0,0,0.0
micromax,Micromax IN 2B (6GB RAM + 64GB),7790,68.0,False,False,False,unisoc,8.0,1.8,5000.0,0,,6.0,64.0,6.52,60,720 x 1600 ,2,1.0,android,13.0,5.0,1,256.0
vivo,Vivo Y12a,9999,65.0,False,False,False,snapdragon,8.0,2.0,5000.0,0,,3.0,32.0,6.51,60,720 x 1600 ,2,1.0,android,13.0,8.0,1,1024.0
oppo,OPPO A54 (6GB RAM + 128GB),14999,74.0,False,False,False,helio,8.0,2.3,5000.0,1,,6.0,128.0,6.51,60,1600 x 720 ,3,1.0,android,13.0,16.0,1,256.0
realme,Realme C11 2021,6499,61.0,False,False,False,sc9863a,8.0,1.6,5000.0,0,,2.0,32.0,6.52,60,720 x 1600 ,1,1.0,android,8.0,5.0,1,1024.0
samsung,Samsung Galaxy A21s (6GB RAM + 128GB),17499,75.0,False,False,False,exynos,8.0,2.0,5000.0,0,,6.0,128.0,6.5,60,720 x 1600 ,4,1.0,android,48.0,13.0,1,512.0
